Criminal Offenses - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,154688,Baker University,1,Main Campus,902,0,0,0,,,0,,,0,1,4,0,0
2001,155946,Baker University School of Nursing,1,Baker University School of Nursing,100,0,0,0,,,0,,,1,0,4,0,0
2001,402493,Baker University School of Professional and Graduate Studies,1,Baker University School of Professional and Graduate Studies,1917,0,0,0,,,0,,,0,0,0,0,0
2001,402493,Baker University School of Professional and Graduate Studies,2,Topeka-SPGS,1917,0,0,0,,,0,,,0,0,0,0,0
2001,402493,Baker University School of Professional and Graduate Studies,3,Wichita-SPGS,1917,0,0,0,,,0,,,0,0,0,0,0
2001,402493,Baker University School of Professional and Graduate Studies,4,Lee's Summit- MO-SPGS,1917,0,0,0,,,0,,,0,0,0,0,0
2001,201195,Baldwin Wallace University,1,Main Campus,4884,0,0,0,,,0,,,0,0,19,2,4
2001,161837,Baltimore Hebrew University Inc,1,Main Campus,164,0,0,0,,,0,,,0,0,0,0,0
2001,161882,Baltimore International College,1,Main Campus,483,0,0,0,,,0,,,0,0,2,0,0
2001,160968,Bangor Theological Seminary,1,Main Campus,78,0,0,0,,,0,,,0,0,0,0,0
2001,189015,Bank Street College of Education,1,Bank Street College of Education,1052,0,0,0,,,0,,,0,0,10,0,0
2001,176664,Baptist Bible College,1,Main Campus,763,0,0,0,,,0,,,0,0,8,0,0
2001,211024,Baptist Bible College & Seminary of Pennsylvania,1,Main Campus,837,0,0,0,,,0,,,0,0,0,0,0
2001,219639,Baptist Memorial College of Health Sciences,1,Main Campus,482,0,0,0,,,0,,,0,0,0,0,0
2001,223117,Baptist Missionary Association Theological Seminary,1,Baptist Missionary Association Theologi,82,0,0,0,,,0,,,0,0,0,0,0
2001,366793,Baptist Theological Seminary at Richmond,1,Main Campus,222,0,0,0,,,0,,,1,0,2,0,0
2001,143163,BARAT COLLEGE,1,Main Campus,652,0,0,0,,,0,,,0,0,7,0,1
2001,197948,BARBER-SCOTIA COLLEGE,1,BARBER-SCOTIA COLLEGE,571,0,0,0,,,0,,,1,7,0,0,0
2001,155070,Barclay College,1,Main Campus,196,0,0,0,,,0,,,0,0,0,0,0
2001,189088,Bard College,1,Main Campus,1508,0,0,0,,,0,,,0,0,7,0,2
2001,167792,Bard College at Simon's Rock,1,Main Campus,401,0,0,0,,,0,,,0,0,7,0,0
2001,189097,Barnard College,1,Main Campus,2261,0,0,0,,,0,,,0,0,9,0,0
2001,177719,Barnes-Jewish College Goldfarb School of Nursing,1,Main Campus,452,0,0,0,,,0,,,0,0,0,0,0
2001,132471,Barry University,1,Main Campus,8691,0,0,1,,,0,,,1,0,3,3,1
2001,197911,Barton College,1,Main Campus,1219,0,0,0,,,0,,,1,1,9,1,0
2001,235547,Bastyr University,1,Main Campus,1117,0,0,0,,,0,,,0,0,2,2,0
2001,160977,Bates College,1,Main Campus,1767,0,0,0,,,0,,,0,2,31,0,0
2001,164632,Bay Path University,1,Main Campus,979,0,0,0,,,0,,,0,0,0,3,0
2001,223223,Baylor College of Medicine,1,Baylor College of Medicine,1211,0,0,0,,,0,,,0,2,0,0,0
2001,223232,Baylor University,1,Main Campus,14221,0,0,1,,,0,,,2,0,29,4,5
2001,433156,BAYSTATE MEDICAL CENTER MIDWIFERY EDUCATION PROG,1,BAYSTATE MEDICAL CENTER MIDWIFERY EDUCATION PROG,5,0,0,0,,,0,,,0,0,0,20,0
2001,425296,Beacon University,1,Main Campus,98,0,0,0,,,0,,,0,0,0,0,0
2001,164720,Becker College,1,Main Campus,1412,0,0,0,,,0,,,0,1,2,0,0
2001,164720,Becker College,2,Leicester,1412,0,0,0,,,0,,,0,0,0,0,0
2001,175421,Belhaven University,1,Main Campus,1883,0,0,0,,,0,,,0,0,0,1,0
2001,175421,Belhaven University,2,Memphis Campus,1883,0,0,0,,,0,,,0,0,0,0,0
2001,175421,Belhaven University,3,Florida Campus,1883,0,0,0,,,0,,,0,0,0,0,0
2001,156286,Bellarmine University,1,Main Campus,2982,0,0,0,,,0,,,0,0,1,1,0
2001,180814,Bellevue University,1,Main Campus,3923,0,0,0,,,0,,,0,0,1,1,0
2001,238324,Bellin College,1,Bellin College,160,0,0,0,,,0,,,0,0,0,0,0
