Criminal Offenses - On campus,,,,,
Survey year,Institution name, Campus Name,Institution Size,Rape,Fondling
2014,American National University,American National University - Parkersburg,1337,0,0
2014,American River College,Main Campus,29133,0,0
2014,American River College,Natomas Center,29133,0,0
2014,American River College,Sacramento Regional Public Safety Training Center,29133,0,0
2014,American Samoa Community College,American Samoa Community College,1276,0,0
2014,American School of Business,Main Campus,61,0,0
2014,American School of Technology,American School of Technology,280,0,0
2014,American Sentinel University,Main Campus,3173,0,0
2014,American Technical Institute,Main Campus,35,0,0
2014,American Trade School,Main Campus,113,0,0
2014,American University,Main Campus,13061,12,9
2014,American University,Tenley Campus,13061,0,0
2014,American University,Washington College of Law,13061,0,0
2014,American University,AU Nairobi,13061,0,0
2014,American University,AU Madrid,13061,0,0
2014,American University,AU Brussels,13061,0,0
2014,American University of Health Sciences,Main Campus,282,0,0
2014,American University of Puerto Rico,AMERICAN UNIVERSITY OF PUERTO RICO,832,0,0
2014,American University of Puerto Rico,AMERICAN UNIVERSITY OF PUERTO RICO,939,0,0
2014,AmeriTech College-Draper,Ameritech College of Healthcare - Non-Main Campus,464,0,0
2014,AmeriTech College-Provo,AmeriTech College - Main Campus,131,0,0
2014,Amherst College,Main Campus,1792,9,3
2014,Amridge University,Main Campus,625,0,0
2014,Anabaptist Mennonite Biblical Seminary,Main Campus,106,0,0
2014,Ancilla College,Main Campus,400,0,0
2014,Anderson University,Main Campus,2399,0,0
2014,Anderson University,Main Campus,3112,0,1
2014,Andover Newton Theological School,Andover Newton Theological School,260,0,0
2014,Andrew College,Andrew College,303,0,0
2014,Andrews University,Main Campus,3418,0,0
2014,Angeles College,Angeles College - Los Angeles (LA) Main,94,0,0
2014,Angeles College,Angeles College - City of Industry (CI) Branch,94,0,0
2014,Angeles Institute,Main Campus,114,0,0
2014,Angelina College,ANGELINA COLLEGE,5148,0,0
2014,Angelo State University,Main Campus,6494,5,1
2014,Ann Arbor Institute of Massage Therapy,Main Campus,95,0,0
2014,Anna Maria College,Main Campus,1430,0,0
2014,Anne Arundel Community College,Anne Arundel Community College,15274,0,0
2014,Annenberg School of Nursing,Main Campus,19,0,0
2014,Anoka Technical College,Anoka Technical College Main Campus,2221,0,0
2014,Anoka-Ramsey Community College,Anoka-Ramsey Community College-Coon Rapids Campus,7877,0,0
2014,Anoka-Ramsey Community College,Anoka-Ramsey Community College-Cambridge Campus,7877,0,0
2014,Antelope Valley College,Main Campus,14578,0,0
2014,Antilles School of Technical Careers,Antilles School of Technical Careers,545,0,0
2014,Antioch University-Los Angeles,Main Campus,1017,0,0
2014,Antioch University-Midwest,Antioch University Midwest,256,0,0
2014,Antioch University-Midwest,Antioch University PhD in Leadership and Change,256,0,0
2014,Antioch University-New England,Main Campus,705,0,0
2014,Antioch University-Santa Barbara,Antioch University at Santa Barbara,423,0,0
2014,Antioch University-Seattle,Main Campus,809,0,0
2014,Antonelli College-Cincinnati,ANTONELLI COLLEGE,173,0,0
2014,Antonelli College-Cincinnati,Cincinnati Campus,173,0,0
2014,Antonelli College-Hattiesburg,ANTONELLI COLLEGE,209,0,0
2014,Antonelli College-Jackson,ANTONELLI COLLEGE,374,0,0
2014,Antonelli Institute,Main Campus,188,0,0
2014,Antonelli Medical and Professional Institute,Main Campus,128,0,0
2014,AOMA Graduate School of Integrative Medicine,AOMA Graduate School of Integrative Medicine,196,0,0
2014,Apex Academy of Hair Design Inc,APEX ACADEMY OF HAIR DESIGN,14,0,0
2014,Apex School of Theology,Main Campus,770,0,0
2014,Apex Technical School,Main Campus,1259,0,0
2014,Apollo Career Center,Main Campus,520,0,0
2014,Appalachian Beauty School,Main Campus,21,0,0
2014,Appalachian Bible College,APPALACHIAN  BIBLE COLLEGE,302,0,0
2014,Appalachian College of Pharmacy,Main Campus,214,0,0
2014,Appalachian School of Law,Main Campus,160,0,0
2014,Appalachian State University,Main Campus,18026,8,11
2014,Appalachian State University,ASU Center at Hickory,18026,0,0
2014,Appalachian State University,ASU Center at Caldwell,18026,0,0
2014,Appalachian State University,ASU Center at Burke,18026,0,0
2014,Applied Technology Services,North County Technical Special School District,166,0,0
2014,Applied Technology Services,Met Center,166,0,0
2014,Applied Technology Services,South Tech,166,0,0
2014,Aquinas College,Main Campus,1933,2,0
2014,Aquinas College,Aquinas College,472,0,0
2014,Aquinas Institute of Theology,Main Campus,156,0,0
2014,Arapahoe Community College,Arapahoe Community College,10401,0,0
2014,Arapahoe Community College,Parker Campus,10401,0,0
2014,Arapahoe Community College,Castle Rock Campus,10401,0,0
2014,Arcadia University,Main Campus,3939,13,0
2014,Arcadia University,King of Prussia,3939,0,0
2014,Arcadia University,Christiana,3939,0,0
2014,Argosy University-Atlanta,Argosy University - Atlanta,1736,0,0
2014,Argosy University-Chicago,Argosy University - Chicago,858,0,0
2014,Argosy University-Dallas,Argosy University - Dallas,496,0,0
2014,Argosy University-Denver,Argosy University - Denver,417,0,0
2014,Argosy University-Hawaii,Argosy University - Hawaii,933,0,0
2014,Argosy University-Inland Empire,Argosy University-Inland Empire,644,0,0
2014,Argosy University-Los Angeles,Argosy University-Los Angeles,571,0,0
2014,Argosy University-Nashville,Argosy University-Nashville,532,0,0
2014,Argosy University-Orange County,Argosy Universiy - Orange County,606,0,0
2014,Argosy University-Phoenix,Argosy University - Phoenix,664,0,0
2014,Argosy University-Salt Lake City,Argosy University - Salt Lake City,234,0,0
2014,Argosy University-San Diego,Argosy University-San Diego,438,0,0
2014,Argosy University-San Francisco Bay Area,Argosy University - San Francisco,438,0,0
2014,Argosy University-Sarasota,Argosy University - Sarasota,690,0,0
2014,Argosy University-Schaumburg,Argosy University - Schaumburg,349,0,0
2014,Argosy University-Seattle,Argosy University - Seattle,278,0,0
2014,Argosy University-Tampa,Argosy University - Tampa,508,0,0
2014,Argosy University-Twin Cities,Argosy University - Twin Cities,1493,0,0
2014,Argosy University-Washington DC,Argosy University - Washington,793,0,0
2014,Aria Health School of Nursing,Aria Health School of Nursing,217,0,0
2014,Arizona Academy of Beauty-East,Main Campus,32,0,0
2014,Arizona Academy of Beauty-North,Main Campus,49,0,0
2014,Arizona Automotive Institute,Arizona Automotive Institute,628,0,0
2014,Arizona Christian University,Main Campus,737,0,0
2014,Arizona College-Glendale,Main Campus,630,0,0
2014,Arizona College-Glendale,Arizona College - Mesa,630,0,0
2014,Arizona College-Mesa,Main Campus,336,0,0
2014,Arizona Culinary Institute,Arizona Culinary Institute,119,0,0
2014,Arizona School of Acupuncture and Oriental Medicine,Main Campus,40,0,0
2014,Arizona State University-Tempe,Tempe Campus,50320,7,9
2014,Arizona State University-Tempe,Downtown Phoenix Campus,50320,0,0
2014,Arizona State University-Tempe,Polytechnic Campus,50320,2,1
2014,Arizona State University-Tempe,West Campus,50320,0,0
2014,Arizona State University-Tempe,Lake Havasu City Campus,50320,0,0
2014,Arizona Summit Law School,Arizona Summit Law School,752,0,0
2014,Arizona Western College,Main Campus,7702,1,0
2014,Arizona Western College,Entrepreneurial Center,7702,0,0
2014,Arizona Western College,San Luis Learning Center,7702,0,0
2014,Arizona Western College,Somerton Center,7702,0,0
2014,Arizona Western College,Parker Learning Center,7702,0,0
2014,Arkansas Baptist College,Arkansas Baptist College,899,4,0
2014,Arkansas Beauty College,Main Campus,33,0,0
2014,Arkansas Beauty School-Little Rock,Main Campus,49,0,0
2014,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,204,0,0
2014,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,204,0,0
2014,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,204,0,0
2014,Arkansas Northeastern College,Main Campus,1425,0,0
2014,Arkansas Northeastern College,Leachville Center,1425,0,0
2014,Arkansas Northeastern College,Osceola Center,1425,0,0
2014,Arkansas Northeastern College,Crisp Center,1425,0,0
2014,Arkansas Northeastern College,Burdette Center,1425,0,0
2014,Arkansas Northeastern College,Paragould Center,1425,0,0
2014,Arkansas Northeastern College,ACME,1425,0,0
2014,Arkansas State University-Beebe,Main Campus,4140,0,0
2014,Arkansas State University-Beebe,ASU-Heber Springs Campus,4140,0,0
2014,Arkansas State University-Beebe,ASU-Searcy Campus,4140,0,0
2014,Arkansas State University-Beebe,ASU-LRAFB,4140,0,0
2014,Arkansas State University-Main Campus,Arkansas State University-Jonesboro,13144,3,0
2014,Arkansas State University-Mountain Home,Arkansas State University-Mountain Home,1393,0,0
2014,Arkansas State University-Newport,ASU-Newport,2477,0,0
2014,Arkansas State University-Newport,ASU-Newport Jonesboro Campus,2477,0,0
2014,Arkansas State University-Newport,ASU-Newport Marked Tree Campus,2477,0,0
2014,Arkansas Tech University,Main Campus,12002,1,0
2014,Arkansas Tech University,Arkansas Tech University - Ozark Campus,12002,0,0
2014,Arlington Baptist College,Main Campus,250,0,0
2014,Arlington Career Institute,Main Campus,204,0,0
2014,Arlington Medical Institute,Main Campus,65,0,0
2014,Armstrong State University,Armstrong State University,7094,0,0
2014,Arnolds Beauty School,Main Campus,66,0,0
2014,Arnot Ogden Medical Center,Main Campus,70,0,1
2014,Arrojo Cosmetology School,KING ST CAMPUS,29,0,0
2014,Art Academy of Cincinnati,Art Academy of Cincinnati,209,0,0
2014,Art Center College of Design,Hillside Campus,2045,0,0
2014,Art Center College of Design,South Campus,2045,0,0
2014,Arthur's Beauty College Inc-Fort Smith,Arthurs Beauty College-Fort Smith,46,0,0
2014,Arthur's Beauty College Inc-Jacksonville,Arthur's Beauty College- Inc.-Jacksonville,56,0,0
2014,Arthur's Beauty School Inc-Conway,Branch Campus,85,0,0
2014,Artistic Academy of Hair Design,ARTISTIC ACADEMY OF HAIR DESIGN,156,0,0
2014,Artistic Nails and Beauty Academy-Lakeland,Main Campus,208,0,0
2014,Artistic Nails and Beauty Academy-Tampa,Main Campus,183,0,0
2014,ASA College,Main Campus,4624,0,0
2014,ASA College,Manhattan,4624,0,0
2014,Asbury Theological Seminary,Asbury Theological Seminary,1470,0,0
2014,Asbury Theological Seminary,Asbury Theological Seminary - Dunnam Campus,1470,0,0
2014,Asbury University,ASBURY UNIVERSITY,1879,0,0
2014,Ashdown College of Health Sciences,Main Campus,31,0,0
2014,Asher College,Asher College,716,0,0
2014,Asher College,Asher College,716,0,0
2014,Asher College,Asher College,716,0,0
2014,Asher College,Asher College,716,0,0
2014,Asheville-Buncombe Technical Community College,Asheville Campus,7507,0,0
2014,Asheville-Buncombe Technical Community College,Madison Campus,7507,0,0
2014,Asheville-Buncombe Technical Community College,Enka Campus,7507,0,0
2014,Ashford University,Iowa Campus,51237,0,0
2014,Ashland Community and Technical College,College Drive  Campus,3345,0,0
2014,Ashland Community and Technical College,Roberts Drive Campus,3345,0,0
2014,Ashland Community and Technical College,Technology Drive Campus,3345,0,0
2014,Ashland County-West Holmes Career Center,Main Campus,53,0,0
2014,Ashland University,Ashland University,5737,2,0
2014,Ashland University,Ashland Theological Seminary,5737,0,0
2014,Ashland University,Elyria Program Center,5737,0,0
2014,Ashland University,Columbus Program Center- Ashland University,5737,0,0
