case,lats,lons,name,size
0.0,39.841914,-77.544068,Pennsylvania State University-Penn State Mont Alto,1164.0
0.0,40.55382,-79.703269,Pennsylvania State University-Penn State New Kensington,987.0
0.0,40.642583,-76.166371,Pennsylvania State University-Penn State Schuylkill,1092.0
0.0,41.234852,-80.508204,Pennsylvania State University-Penn State Shenango,985.0
0.0,41.306529,-76.017242,Pennsylvania State University-Penn State Wilkes-Barre,852.0
0.0,41.440258,-75.620583,Pennsylvania State University-Penn State Worthington Scranton,1609.0
0.0,39.952327,-76.702835,Pennsylvania State University-Penn State York,1954.0
0.0,30.480779,-87.200622,Pensacola State College,10678.0
0.0,30.480779,-87.200622,Pensacola State College,10678.0
0.0,30.480779,-87.200622,Pensacola State College,10678.0
0.0,30.480779,-87.200622,Pensacola State College,10678.0
0.0,40.474689,-95.732731,Peru State College,1629.0
0.0,37.3913,-94.704782,Pittsburg State University,6723.0
0.0,43.757386,-71.691164,Plymouth State University,4418.0
0.0,28.030775,-81.712932,Polk State College,5893.0
0.0,45.511229,-122.683553,Portland State University,20024.0
0.0,39.436935,-78.983175,Potomac State College of West Virginia University,1258.0
0.0,30.094591,-95.992066,Prairie View A & M University,6747.0
0.0,30.094591,-95.992066,Prairie View A & M University,6747.0
0.0,30.094591,-95.992066,Prairie View A & M University,6747.0
0.0,41.584742,-87.47376,Purdue University-Calumet Campus,9103.0
0.0,40.428206,-86.914435,Purdue University-Main Campus,39882.0
0.0,41.583788,-86.89523,Purdue University-North Central Campus,3493.0
3.0,37.136914,-80.549731,Radford University,9142.0
0.0,41.007523,-74.116384,Ramapo College of New Jersey,5199.0
0.0,41.84266,-71.466915,Rhode Island College,8662.0
0.0,36.319609,-95.635739,Rogers State University,2872.0
0.0,36.319609,-95.635739,Rogers State University,2872.0
0.0,36.319609,-95.635739,Rogers State University,2872.0
0.0,39.709768,-75.117974,Rowan University,9788.0
0.0,39.948628,-75.125303,Rutgers University-Camden,5097.0
3.0,40.503796,-74.45051,Rutgers University-New Brunswick,35650.0
0.0,40.741303,-74.175294,Rutgers University-Newark,9602.0
0.0,43.55187,-83.96434,Saginaw Valley State University,8936.0
0.0,45.552418,-94.153,Saint Cloud State University,15920.0
0.0,29.647195,-81.681137,Saint Johns River State College,3983.0
0.0,29.647195,-81.681137,Saint Johns River State College,3983.0
0.0,29.647195,-81.681137,Saint Johns River State College,3983.0
0.0,29.647195,-81.681137,Saint Johns River State College,3983.0
